ch,2026,2025
Berowra,贝罗拉,Berowra
Mount Kuring-gai,库林盖山,Mount Kuring-gai
Mount Colah,科拉山,Mount Colah
Asquith,阿斯奎斯,Asquith
Hornsby,霍恩斯比,Hornsby
Richmond,里士满,Richmond
Normanhurst,诺曼赫斯特,Normanhurst
Waitara,怀塔拉,Waitara
East Richmond,东里士满,East Richmond
Wahroonga,瓦朗加,Wahroonga
Thornleigh,索恩利,Thornleigh
Clarendon,克拉伦登,Clarendon
Warrawee,沃拉威,Warrawee
Pennant Hills,彭南特山,Pennant Hills
Turramurra,图拉穆拉,Turramurra
Windsor,温莎,Windsor
Pymble,平布尔,Pymble
Beecroft,比克罗夫特,Beecroft
Mulgrave,马尔格雷夫,Mulgrave
Gordon,戈登,Gordon
Cheltenham,切尔滕纳姆,Cheltenham
Vineyard,瓦恩亚德,Vineyard
Killara,基拉拉,Killara
Rouse Hill,劳斯山,Rouse Hill
Kellyville,凯利维尔,Kellyville
Bella Vista,贝拉维斯塔,Bella Vista
Norwest,诺斯韦斯特,Norwest
Hills Showground,希尔斯展览场,Hills Showground
Castle Hill,城堡山,Castle Hill
Cherrybrook,樱桃溪,Cherrybrook
Tallawong,塔拉旺,Tallawong
Lindfield,林菲尔德,Lindfield
Riverstone,里弗斯通,Riverstone
Epping,埃平,Epping
Roseville,罗斯维尔,Roseville
Macquarie University,麦考瑞大学,Macquarie University
Macquarie Park,麦考瑞公园,Macquarie Park
North Ryde,北莱德,North Ryde
Schofields,斯科菲尔兹,Schofields
Chatswood,车士活,Chatswood
Eastwood,伊斯特伍德,Eastwood
Artarmon,阿塔蒙,Artarmon
Quakers Hill,贵格山,Quakers Hill
St Leonards,圣伦纳兹,St Leonards
Denistone,丹尼斯通,Denistone
Marayong,马拉扬,Marayong
Crows Nest,克罗斯内斯特,Crows Nest
Wollstonecraft,沃斯通克拉夫特,Wollstonecraft
Waverton,韦弗顿,Waverton
West Ryde,西莱德,West Ryde
North Sydney,北悉尼,North Sydney
Victoria Cross,维多利亚十字,Victoria Cross
Milsons Point,米尔逊斯角,Milsons Point
Meadowbank,梅多班克,Meadowbank
St Marys,圣玛丽斯,St Marys
Emu Plains,埃姆平原,Emu Plains
Penrith,彭里斯,Penrith
Kingswood,金斯伍德,Kingswood
Werrington,韦灵顿,Werrington
Mount Druitt,德鲁伊特山,Mount Druitt
Rooty Hill,鲁蒂山,Rooty Hill
Doonside,敦赛德,Doonside
Blacktown,布莱克敦,Blacktown
Seven Hills,七山,Seven Hills
Toongabbie,通加比,Toongabbie
Pendle Hill,彭德尔山,Pendle Hill
Circular Quay,环形码头,Circular Quay
Rhodes,罗德,Rhodes
Wentworthville,温特沃斯维尔,Wentworthville
Barangaroo,巴兰加鲁,Barangaroo
Westmead,韦斯特米德,Westmead
Wynyard,温亚德,Wynyard
Hunter Street,亨特街,Hunter Street
Concord West,西康科德,Concord West
Parramatta,帕拉马塔,Parramatta
Olympic Park,奥林匹克公园,Olympic Park
Martin Place,马丁广场,Martin Place
Sydney Olympic Park,悉尼奥林匹克公园,Sydney Olympic Park
North Strathfield,北斯特拉斯菲尔德,North Strathfield
Burwood North,北宝活,Burwood North
The Bays,海湾区,The Bays
Pyrmont,皮尔蒙特,Pyrmont
Five Dock,五船坞,Five Dock
Kings Cross,国王十字,Kings Cross
Edgecliff,埃奇克利夫,Edgecliff
Harris Park,哈里斯公园,Harris Park
Bondi Junction,邦迪枢纽,Bondi Junction
St James,圣詹姆斯,St James
Town Hall,市政厅,Town Hall
Gadigal,加迪加尔,Gadigal
Granville,格兰维尔,Granville
Orchard Hills,果园山,Orchard Hills
Museum,博物馆,Museum
Clyde,克莱德,Clyde
Auburn,奥本,Auburn
Central,中央车站,Central
Luddenham,卢登纳姆,Luddenham
Merrylands,梅里兰兹,Merrylands
Redfern,雷德芬,Redfern
Strathfield,斯特拉斯菲尔德,Strathfield
Burwood,宝活,Burwood
Waterloo,滑铁卢,Waterloo
Lidcombe,利德科姆,Lidcombe
Flemington,弗莱明顿,Flemington
Homebush,霍姆布什,Homebush
Croydon,克罗伊登,Croydon
Ashfield,阿什菲尔德,Ashfield
Summer Hill,夏山,Summer Hill
Lewisham,刘易舍姆,Lewisham
Petersham,彼得舍姆,Petersham
Stanmore,斯坦莫尔,Stanmore
Newtown,纽敦,Newtown
Macdonaldtown,麦克唐纳敦,Macdonaldtown
Guildford,吉尔福德,Guildford
Erskineville,厄斯金维尔,Erskineville
Yennora,耶诺拉,Yennora
Green Square,绿色广场,Green Square
Airport Business Park,机场商务园,Airport Business Park
Berala,贝拉拉,Berala
St Peters,圣彼得斯,St Peters
Fairfield,费尔菲尔德,Fairfield
Sydenham,悉登汉姆,Sydenham
Mascot,马斯科特,Mascot
Regents Park,摄政公园,Regents Park
Dulwich Hill,达利奇山,Dulwich Hill
Marrickville,马里克维尔,Marrickville
Hurlstone Park,赫尔斯通公园,Hurlstone Park
Canley Vale,坎利谷,Canley Vale
Carramar,卡拉马,Carramar
Villawood,维拉伍德,Villawood
Leightonfield,莱顿菲尔德,Leightonfield
Chester Hill,切斯特山,Chester Hill
Sefton,塞夫顿,Sefton
Airport Terminal,机场航站楼,Airport Terminal
Birrong,比荣,Birrong
Canterbury,坎特伯雷,Canterbury
Domestic Airport,国内机场,Domestic Airport
Tempe,坦佩,Tempe
Yagoona,亚古纳,Yagoona
Campsie,坎西,Campsie
International Airport,国际机场,International Airport
Cabramatta,卡布拉马塔,Cabramatta
Wolli Creek,沃利溪,Wolli Creek
Bankstown,班克斯敦,Bankstown
Punchbowl,潘奇鲍尔,Punchbowl
Wiley Park,威利公园,Wiley Park
Lakemba,莱肯巴,Lakemba
Belmore,贝尔莫尔,Belmore
Turrella,图雷拉,Turrella
Western Sydney Aerotropolis,西悉尼航空城,Western Sydney Aerotropolis
Warwick Farm,沃里克农场,Warwick Farm
Arncliffe,安克利夫,Arncliffe
Bardwell Park,巴德威尔公园,Bardwell Park
Banksia,班克西亚,Banksia
Bexley North,北贝克斯利,Bexley North
Liverpool,利物浦,Liverpool
Rockdale,罗克代尔,Rockdale
Kingsgrove,金斯格罗夫,Kingsgrove
Casula,卡苏拉,Casula
Kogarah,科加拉,Kogarah
Beverly Hills,比弗利山,Beverly Hills
Revesby,里维斯比,Revesby
